t	y	yapprox
0 2 2
0.1 2.105 2.1
0.2 2.22 2.21
0.3 2.345 2.33
0.4 2.48 2.46
0.5 2.625 2.6
0.6 2.78 2.75
0.7 2.945 2.91
0.8 3.12 3.08
0.9 3.305 3.26
1 3.5 3.45
1.1 3.705 3.65
